5|5
9.758732889103749 2.9724962204272365 3.920025146787461 8.346245158295062 1.7349155524639215|1.7349155524639215 8.346245158295062 3.920025146787461 2.9724962204272365 9.758732889103749
9.279848981878365 7.892447793861804 7.83927125509563 3.8481299427436566 3.883855533521455|3.883855533521455 3.8481299427436566 7.83927125509563 7.892447793861804 9.279848981878365
9.366747912821966 3.1059232070310805 2.476929792397242 1.9269240534250909 0.5368224508665265|0.5368224508665265 1.9269240534250909 2.476929792397242 3.1059232070310805 9.366747912821966
8.59217515807946 5.869740977060275 1.4532930043620251 9.136195213572401 6.949038827437559|6.949038827437559 9.136195213572401 1.4532930043620251 5.869740977060275 8.59217515807946
4.602032546755881 5.758442490495524 0.12355553419132304 4.5945362500175335 1.7410563324170547|1.7410563324170547 4.5945362500175335 0.12355553419132304 5.758442490495524 4.602032546755881
8.567116807172315 7.528589395746716 8.834976721326907 3.9703037017056175 0.05581304868665038|0.05581304868665038 3.9703037017056175 8.834976721326907 7.528589395746716 8.567116807172315
5.831318635126119 7.223107804317238 9.246453625971682 5.734404370800847 2.434174001280338|2.434174001280338 5.734404370800847 9.246453625971682 7.223107804317238 5.831318635126119
8.362652585113025 0.03183427115213133 5.943796669260399 9.072554098167922 2.742372377067057|2.742372377067057 9.072554098167922 5.943796669260399 0.03183427115213133 8.362652585113025
5.159332416759257 9.981144772118505 8.707315893247479 9.051789273387685 7.83088568289811|7.83088568289811 9.051789273387685 8.707315893247479 9.981144772118505 5.159332416759257
8.065366113397317 7.043826122735971 6.934686888135549 4.211294750020137 8.437082838160677|8.437082838160677 4.211294750020137 6.934686888135549 7.043826122735971 8.065366113397317
8.293555296744282 7.728944209994369 5.7950933952730015 7.724388989649952 8.801215824218058|8.801215824218058 7.724388989649952 5.7950933952730015 7.728944209994369 8.293555296744282
6.702990375261294 4.346256953220474 0.9375581806079325 2.6006516159681246 0.2888623999635864|0.2888623999635864 2.6006516159681246 0.9375581806079325 4.346256953220474 6.702990375261294
2.1749694686348864 9.963287380089193 2.964483700974596 5.137839911307585 9.694990954306073|9.694990954306073 5.137839911307585 2.964483700974596 9.963287380089193 2.1749694686348864
1.252626185296416 0.5639771395890658 1.7370840765830053 4.042313517510098 3.4919902506630898|3.4919902506630898 4.042313517510098 1.7370840765830053 0.5639771395890658 1.252626185296416
2.063968300797293 8.403466970966097 0.2672033157460396 8.09767026187502 0.5445564478260256|0.5445564478260256 8.09767026187502 0.2672033157460396 8.403466970966097 2.063968300797293
1.43743332501581 2.7832107154405072 1.3344791124679678 4.394413966917796 3.617852876822326|3.617852876822326 4.394413966917796 1.3344791124679678 2.7832107154405072 1.43743332501581
3.8670619996067512 2.8996680507003236 8.089976755807797 2.3135190160454133 4.812872160731041|4.812872160731041 2.3135190160454133 8.089976755807797 2.8996680507003236 3.8670619996067512
8.867848270236342 4.882638799169676 7.425609063525814 5.5340235898600385 7.689682426789197|7.689682426789197 5.5340235898600385 7.425609063525814 4.882638799169676 8.867848270236342
9.249831783688403 2.182734172435036 8.198974045756986 0.7869460562798514 0.7209014154215421|0.7209014154215421 0.7869460562798514 8.198974045756986 2.182734172435036 9.249831783688403
7.99464822281966 6.209947346713546 6.9443617800736135 2.2043784794408463 5.14903942060049|5.14903942060049 2.2043784794408463 6.9443617800736135 6.209947346713546 7.99464822281966
2.7854899665506663 2.904540618018147 5.227314220732701 3.884136549949746 6.687762683760633|6.687762683760633 3.884136549949746 5.227314220732701 2.904540618018147 2.7854899665506663
9.65743930714048 6.1420391016272315 0.8389309365058473 6.600384129928914 0.42004856626841724|0.42004856626841724 6.600384129928914 0.8389309365058473 6.1420391016272315 9.65743930714048
3.5120022355058857 5.128961271745584 3.3444733066538657 3.0601569162691247 7.578252673096707|7.578252673096707 3.0601569162691247 3.3444733066538657 5.128961271745584 3.5120022355058857
6.439239610845549 2.707708114666173 8.89996043597742 3.892512522510565 9.829560381960288|9.829560381960288 3.892512522510565 8.89996043597742 2.707708114666173 6.439239610845549
0.5166079100542909 9.067930837311502 2.6221604992390857 1.3138090471335473 9.717218193392604|9.717218193392604 1.3138090471335473 2.6221604992390857 9.067930837311502 0.5166079100542909
1.1852013096026892 2.4826422471400256 4.060278946222412 1.7722705067777944 9.320158754952969|9.320158754952969 1.7722705067777944 4.060278946222412 2.4826422471400256 1.1852013096026892
6.731538251001531 7.889871271029792 2.3760238097184017 0.7341387625736706 2.2027996975819866|2.2027996975819866 0.7341387625736706 2.3760238097184017 7.889871271029792 6.731538251001531
3.636325887723263 2.440478896394349 1.0862990283293361 8.176533501287276 9.832838919135146|9.832838919135146 8.176533501287276 1.0862990283293361 2.440478896394349 3.636325887723263
0.2080813364676981 6.502403661870062 6.726130186487936 1.622335494528152 8.311170403628598|8.311170403628598 1.622335494528152 6.726130186487936 6.502403661870062 0.2080813364676981
3.407201100812738 6.638159512255043 7.558789703326281 1.4991610886869466 8.725841538934686|8.725841538934686 1.4991610886869466 7.558789703326281 6.638159512255043 3.407201100812738
8.6243824095954 7.4880188733753545 4.094215451250138 7.796176302984418 9.695056038358182|9.695056038358182 7.796176302984418 4.094215451250138 7.4880188733753545 8.6243824095954
3.8344703729323903 7.1139078802852085 8.53108556759748 1.3153547741038196 5.857965871880616|5.857965871880616 1.3153547741038196 8.53108556759748 7.1139078802852085 3.8344703729323903
3.2374638969867977 3.138966125699283 1.7250629642440563 5.4265561068053705 6.0846354358482655|6.0846354358482655 5.4265561068053705 1.7250629642440563 3.138966125699283 3.2374638969867977
5.615235933828975 1.222450902352542 7.191105027028767 5.001274409952764 8.886174449800297|8.886174449800297 5.001274409952764 7.191105027028767 1.222450902352542 5.615235933828975
2.756439453060864 8.890198584522553 6.562748368085034 2.104302543463701 0.15063070061057227|0.15063070061057227 2.104302543463701 6.562748368085034 8.890198584522553 2.756439453060864
